Price,Address,Square Footage,Year Built,Bed Rooms,Style,Basement,Distance to City Core(KM),Quadrant
1488000,"5928 Bow Crescent NW, Calgary, Alberta T3B 2B9",3066,1991,6,2,Finished,10.4,NW
839900,"646 Arbour Lake Drive NW, Calgary, Alberta T3G 4T6",1527,1999,3,1,Finished,18.9,NW
659900,"12 Baker Crescent NW, Calgary, Alberta T2L 1R4",2500,2024,4,3,Finished,10.7,NW
599900,"610 Greenbriar Common NW, Calgary, Alberta T3B 6J2",1532.63,2020,4,3,Finished,14.3,NW
2200000,"38 Rockcliff Terrace NW, Calgary, Alberta T3G 0G6",3582,2024,4,2,Finished,22.7,NW
699950,"5611 Dalwood Way NW, Calgary, Alberta T3A 1S6",1685,1974,2,2,Finished,13.9,NW
1049000,"106 Hamptons Heights NW, Calgary, Alberta T3A 5S1",1691,1999,4,1,Finished,17.5,NW
1165000,"115 Edgepark Boulevard NW, Calgary, Alberta T3A 4A8",1831.45,1981,6,1,Finished,14.2,NW
699900,"161 Silver Mead Crescent NW, Calgary, Alberta T3B 3W3",1262,1974,4,1,Finished,15.7,NW
459900,"30 Ranchlands Place NW, Calgary, Alberta T3G 1S5",1131,1978,3,2,Finished,16.7,NW
829000,"3320 Constable Place NW, Calgary, Alberta T2L 0L1",1189.4,1967,4,1,Finished,7.3,NW
874900,"4844 Montana Crescent NW, Calgary, Alberta T3B 1E8",1252,1956,4,1,Finished,9.8,NW
1375000,"5008 20 Avenue NW, Calgary, Alberta T3B 0V7",2613.25,2017,4,2,Finished,9.5,NW
1450000,"61 Arbour Vista Road NW, Calgary, Alberta T3G 4N9",2637.66,2000,4,2,Finished,18.6,NW
529000,"6142 Bowness Road NW, Calgary, Alberta T3B 0E1",2750.52,2012,3,2,Finished,10.5,NW
719000,"6404 70 Street NW, Calgary, Alberta T3B 3J6",1157,1974,4,1,Finished,16.2,NW
829900,"6712 Silver Ridge Way NW, Calgary, Alberta T3B 4R4",1590,1977,5,1,Finished,16.4,NW
1240000,"12 Baker Crescent NW, Calgary, Alberta T2L 1R4",1495.23,1962,4,1,Finished,10.7,NW
975000,"26 Collingwood Place NW, Calgary, Alberta T2L0P9",1531,1959,5,1,Finished,7.5,NW
798000,"3416 23 Street NW, Calgary, Alberta T2L 0T9",1218,1960,4,1,Finished,8,NW
980000,"4131 67 Street NW, Calgary, Alberta T3B 2J2",1814.14,1989,3,2,Finished,11.8,NW
1199000,"4224 Vauxhall Crescent NW, Calgary, Alberta T3A 0H9",1472.29,1964,5,1,Finished,11.1,NW
679900,"5132 33 Street NW, Calgary, Alberta T2L 1V4",1341.32,1964,4,2,Finished,11,NW
629900,"5232 21 Avenue NW, Calgary, Alberta T3B 0X5",602.56,1952,2,1,Finished,9.5,NW
