Price,Address,Square Footage,Year Built,Bed Rooms,Style,Basement,Distance to City Core(KM),Quadrant
1399900,1914 45 Avenue SW,2163,2023,4,2,Finished,7.4,SW
1099000,4303 17 Street SW,1777,2010,3,2,Finished,7.6,SW
1375000,2029 47 Avenue SW,1984,2023,3,2,Finished,7.4,SW
1985000,4504 19 Street SW,3372,2015,5,2,Finished,7.2,SW
1599000,4024 16a Street SW,2247,2014,4,2,Finished ,5.4,SW
1399000,3932 16a Street SW,2649,2005,4,2,Finished,5.3,SW
1389000,4212 16a Street SW,2425,2023,4,3,Finished,7.7,SW
1200000,1764 49 Avenue SW,2368,2023,3,3,Finished,8.1,SW
1029000,3812 17 Street SW,1983,2010,3,2,Finished,5.3,SW
900000,4808 16 Street SW,1873,2000,3,2,Finished,8.4,SW
1195000,3 Canso Green SW,2552,2000,3,2,Unfinished,17,SW
1079000,210 Canterbury Place SW,1611,1969,3,2,Finished,15.8,SW
698800,935 124 Avenue SW,1285,1973,2,2,Unfinished,16.4,SW
798000,63 Canterbury Court SW,2070,1989,3,2,Finished,16.4,SW
749900,18 Spokane Street SW,1433,1962,3,2,Finished,14.8,SW
735099,"212, 20 Silverado Crest Park SW",1167,2022,2,1,Finished,30.2,SW
614900,59 Silverton Glen Crescent  SW,1443,2023,2,2,Unfinished,31.8,SW
1799000,413 Silverado Ranch Manor SW,3488,2012,4,2,Unfinished,31.1,SW
999000,54 Everglade Way SW,2576,2003,3,2,Finished,23.8,SW
595000,107 Eversyde Circle SW,961,2004,1,1,Finished,26,SW
574900,108 Everridge Way SW,1311,2003,3,2,Finished,25.5,SW
829000,246 Everwillow Close SW,1638.12,2002,4,2,Finished,25.3,SW
769999,126 Creekside Way  SW,2377,2021,5,2,Unfinished,33.5,SW
639900,6607 Coach Hill Road SW,1564.4,1979,3,2,Finished,10.1,SW
969000,36 Elmont Court Southwest,2479,2007,4,2,Unfinished,10.5,SW
469000,66 Glamis Gardens SW,1484,1980,3,2,Unfinished,10.2,SW
999900,11 Shawnee Heath SW,2213,2017,4,2,Finished,27.1,SW
799888,3114 Leduc Crecent SW,1400,1962,3,1,Finished,9.9,SW
799400,78 Creekside Grove SW,2539,2023,5,2,Unfinished,33.5,SW
1039990,9 Val Gardena View SW,2432,2004,3,2,Finished,12,SW
988888,1138 43 Street SW,1919,1962,3,1,Unfinished,6.8,SW
799900,2603 38 Street SW,1164,1954,4,1,Finished,7,SW
868000,412 52 Avenue SW,1714,2009,4,2,Finished,5.5,SW
875000,610 Sierra Madre Court SW,1895,1997,5,2,Finished,14.5,SW
949900,213 Crestmont Drive SW,2157,2018,3,2,Unfinished,18.3,SW
1189900,2631 29 Street SW,2286,2014,4,2,Finished,6.2,SW
1170000,3114 14 Avenue SW,2092,2023,5,2,Finished,3.5,SW
785000,97 Wentworth Close SW,1630,2002,4,2,Finished,12.4,SW
1895000,48 Spring Willow Terrace SW,3290,2007,4,2,Finished,11.1,SW
1999000,2224 Kelwood Drive SW,3745,2023,4,2,Unfinished,7,SW
949900,1024 Sifton Boulevard SW,1339,1946,2,1,Finished,4.6,SW
634900,307 Millview Bay SW,1750,2001,4,2,Finished,25.3,SW
550000,102 Somerset Circle SW,1747,1996,5,2,Finished,30.3,SW
599900,11412 Southdale Close SW,1206,1975,5,2,Finished,16.5,SW
650000,16113 Shawbrooke Road  SW,1604,1997,3,2,Finished,26.5,SW
